book_id,title,authors,original_publication_year,language_code,average_rating,image_url,description,subjects,data_source,search_text
46012,"16 Lighthouse Road (Cedar Cove, #1)",Debbie Macomber,2001.0,eng,4.08,https://images.gr-assets.com/books/1388881732m/46012.jpg,"Welcome to Cedar Cove, where the extraordinary bonds that hold family and friends together are only the beginning. Only from #1 New York Times bestselling author Debbie Macomber. Family court judge Olivia Lockhart has seen a lot of couples in her courtroom. Most divorce petitions are open-and-shut, but when Olivia meets a young couple whose grief appears to be overshadowing their love, she makes a controversial ruling that gets everyone in her close-knit hometown talking. Olivia is no stranger to having family and friends weigh in on anything and everything. From her mother, to her best friend, to her daughter, navigating life and love in Cedar Cove has always taken a village. But when new-to-town newspaper editor Jack Griffin takes a personal interest in Olivia’s ruling—and in Olivia herself—she is surprised by just how welcome the attention is. Matters of the heart may be messy, and surprising, and more than a little complicated, but in Cedar Cove, they’re always unforgettable. Previously published.",,GoodBooks + Google Books enrichment,"Title: 16 Lighthouse Road (Cedar Cove, #1) Author: Debbie Macomber Subjects: Description: Welcome to Cedar Cove, where the extraordinary bonds that hold family and friends together are only the beginning. Only from #1 New York Times bestselling author Debbie Macomber. Family court judge Olivia Lockhart has seen a lot of couples in her courtroom. Most divorce petitions are open-and-shut, but when Olivia meets a young couple whose grief appears to be overshadowing their love, she makes a controversial ruling that gets everyone in her close-knit hometown talking. Olivia is no stranger to having family and friends weigh in on anything and everything. From her mother, to her best friend, to her daughter, navigating life and love in Cedar Cove has always taken a village. But when new-to-town newspaper editor Jack Griffin takes a personal interest in Olivia’s ruling—and in Olivia herself—she is surprised by just how welcome the attention is. Matters of the heart may be messy, and surprising, and more than a little complicated, but in Cedar Cove, they’re always unforgettable. Previously published. Published: 2001.0"
1067,1776,David McCullough,2005.0,eng,4.06,https://images.gr-assets.com/books/1306787560m/1067.jpg,"Perfect for David McCullough fans and history lovers alike, this ebook boxed set features all of his bestselling titles, from 1776 to Mornings on Horseback. This ebook box set includes all of David McCullough’s bestselling titles: 1776 is the riveting story of George Washington, the men who marched with him, and their British foes in the momentous year of American independence. Brave Companions contains profiles of the exceptional men and women who shaped history, among them Alexander von Humboldt, Harriet Beecher Stowe, and Charles and Anne Lindbergh. The Great Bridge is the remarkable, enthralling story of the planning and construction of the Brooklyn Bridge, which linked two great cities and epitomized American optimism, skill, and determination. John Adams is the magisterial, Pulitzer Prize–winning biography of the independent, irascible Yankee patriot, one of our nation’s founders and most important figures, who became our second president. The Johnstown Flood is the classic history of an American tragedy that became a scandal in the age of the Robber Barons, the preventable flood that destroyed a town and killed 2,000 people. Mornings on Horseback is the brilliant National Book Award–winning biography of young Theodore Roosevelt’s metamorphosis from sickly child to a vigorous, intense man poised to become a national hero and then president. Path Between the Seas is the epic National Book Award–winning history of the heroic successes, tragic failures, and astonishing engineering and medical feats that made the Panama Canal possible. Truman is the Pulitzer Prize–winning biography of Harry Truman, the complex and courageous man who rose from modest origins to make momentous decisions as president, from dropping the atomic bomb to going to war in Korea. A special bonus is included: The Course of Human Events. In this Jefferson Lecture in the Humanities, David McCullough draws on his personal experience as a historian to acknowledge the crucial importance of writing in history’s enduring impact and influence, and he affirms the significance of history in teaching us about human nature through the ages.",,GoodBooks + Google Books enrichment,"Title: 1776 Author: David McCullough Subjects: Description: Perfect for David McCullough fans and history lovers alike, this ebook boxed set features all of his bestselling titles, from 1776 to Mornings on Horseback. This ebook box set includes all of David McCullough’s bestselling titles: 1776 is the riveting story of George Washington, the men who marched with him, and their British foes in the momentous year of American independence. Brave Companions contains profiles of the exceptional men and women who shaped history, among them Alexander von Humboldt, Harriet Beecher Stowe, and Charles and Anne Lindbergh. The Great Bridge is the remarkable, enthralling story of the planning and construction of the Brooklyn Bridge, which linked two great cities and epitomized American optimism, skill, and determination. John Adams is the magisterial, Pulitzer Prize–winning biography of the independent, irascible Yankee patriot, one of our nation’s founders and most important figures, who became our second president. The Johnstown Flood is the classic history of an American tragedy that became a scandal in the age of the Robber Barons, the preventable flood that destroyed a town and killed 2,000 people. Mornings on Horseback is the brilliant National Book Award–winning biography of young Theodore Roosevelt’s metamorphosis from sickly child to a vigorous, intense man poised to become a national hero and then president. Path Between the Seas is the epic National Book Award–winning history of the heroic successes, tragic failures, and astonishing engineering and medical feats that made the Panama Canal possible. Truman is the Pulitzer Prize–winning biography of Harry Truman, the complex and courageous man who rose from modest origins to make momentous decisions as president, from dropping the atomic bomb to going to war in Korea. A special bonus is included: The Course of Human Events. In this Jefferson Lecture in the Humanities, David McCullough draws on his personal experience as a historian to acknowledge the crucial importance of writing in history’s enduring impact and influence, and he affirms the significance of history in teaching us about human nature through the ages. Published: 2005.0"
/works/OL7569766W,1815,Henry Houssaye,1900.0,eng,,https://covers.openlibrary.org/b/id/1278655-M.jpg,"napoleon, napoléon, wellington, blucher, blücher, the hundred days, histoire, history, politics, government, politique, gouvernement, waterloo, battle of waterloo, belgium, 1815, bataille de waterloo, elba and the hundred days, 1814-1815","napoleon, napoléon, wellington, blucher, blücher, the hundred days, histoire, history, politics, government, politique, gouvernement, waterloo, battle of waterloo, belgium, 1815, bataille de waterloo, elba and the hundred days, 1814-1815",Open Library subject: politics,"Title: 1815 Author: Henry Houssaye Subjects: napoleon, napoléon, wellington, blucher, blücher, the hundred days, histoire, history, politics, government, politique, gouvernement, waterloo, battle of waterloo, belgium, 1815, bataille de waterloo, elba and the hundred days, 1814-1815 Description: napoleon, napoléon, wellington, blucher, blücher, the hundred days, histoire, history, politics, government, politique, gouvernement, waterloo, battle of waterloo, belgium, 1815, bataille de waterloo, elba and the hundred days, 1814-1815 Published: 1900.0"
/works/OL35266668W,"1984 - Graphic Novel, The",George Orwell,2021.0,eng,,https://covers.openlibrary.org/b/id/14302125-M.jpg,"orwell, george, 1903-1950, dystopian, newspeak, ingsoc, thoughtcrime","orwell, george, 1903-1950, dystopian, newspeak, ingsoc, thoughtcrime",Open Library subject: dystopian,"Title: 1984 - Graphic Novel, The Author: George Orwell Subjects: orwell, george, 1903-1950, dystopian, newspeak, ingsoc, thoughtcrime Description: orwell, george, 1903-1950, dystopian, newspeak, ingsoc, thoughtcrime Published: 2021.0"
12254379,"1Q84 #1-2 (1Q84, #1-2)","Haruki Murakami, Jay Rubin",2009.0,eng,4.07,https://images.gr-assets.com/books/1327925087m/12254379.jpg,"Aomame è spietata e fragile. È un killer che in minigonna e tacchi a spillo, con una tecnica micidiale e impalpabile, vendica tutte le donne che subiscono una violenza. Tengo è un ghost writer che deve riscrivere un libro inquietante e pericoloso come una profezia. Entrambi si giocano la vita in una storia che sembra destinata a farli incontrare. Ma quando Aomame, sollevando gli occhi al cielo, vede sorgere una seconda luna, capisce che non potranno condividere neppure la stessa realtà. Mai come in 1Q84 Murakami ha esplorato le nostre ossessioni per dare vita a un mondo così personale, onirico e malinconico. Accolto in Giappone come il suo capolavoro, 1Q84 è un romanzo che contiene universi.",,GoodBooks + Google Books enrichment,"Title: 1Q84 #1-2 (1Q84, #1-2) Author: Haruki Murakami, Jay Rubin Subjects: Description: Aomame è spietata e fragile. È un killer che in minigonna e tacchi a spillo, con una tecnica micidiale e impalpabile, vendica tutte le donne che subiscono una violenza. Tengo è un ghost writer che deve riscrivere un libro inquietante e pericoloso come una profezia. Entrambi si giocano la vita in una storia che sembra destinata a farli incontrare. Ma quando Aomame, sollevando gli occhi al cielo, vede sorgere una seconda luna, capisce che non potranno condividere neppure la stessa realtà. Mai come in 1Q84 Murakami ha esplorato le nostre ossessioni per dare vita a un mondo così personale, onirico e malinconico. Accolto in Giappone come il suo capolavoro, 1Q84 è un romanzo che contiene universi. Published: 2009.0"
/works/OL15029001W,1Q84,村上春樹,2009.0,eng,,https://covers.openlibrary.org/b/id/11153243-M.jpg,"new york times bestseller, nyt:hardcover_fiction=2011-12-31, fiction, new list 20111231, man-woman relationships, dystopian, magical realism, literary, authors, man-woman relationship, assassins, maestros universitarios, relaciones hombre-mujer, asesinato, assassination, asesinos, detective and mystery stories, college teachers","new york times bestseller, nyt:hardcover_fiction=2011-12-31, fiction, new list 20111231, man-woman relationships, dystopian, magical realism, literary, authors, man-woman relationship, assassins, maestros universitarios, relaciones hombre-mujer, asesinato, assassination, asesinos, detective and mystery stories, college teachers",Open Library subject: dystopian,"Title: 1Q84 Author: 村上春樹 Subjects: new york times bestseller, nyt:hardcover_fiction=2011-12-31, fiction, new list 20111231, man-woman relationships, dystopian, magical realism, literary, authors, man-woman relationship, assassins, maestros universitarios, relaciones hombre-mujer, asesinato, assassination, asesinos, detective and mystery stories, college teachers Description: new york times bestseller, nyt:hardcover_fiction=2011-12-31, fiction, new list 20111231, man-woman relationships, dystopian, magical realism, literary, authors, man-woman relationship, assassins, maestros universitarios, relaciones hombre-mujer, asesinato, assassination, asesinos, detective and mystery stories, college teachers Published: 2009.0"
10357575,1Q84,"Haruki Murakami, Jay Rubin, Philip Gabriel",2009.0,eng,3.89,https://images.gr-assets.com/books/1483103331m/10357575.jpg,"The year is 1Q84. This is the real world, there is no doubt about that. But in this world, there are two moons in the sky. In this world, the fates of two people, Tengo and Aomame, are closely intertwined. They are each, in their own way, doing something very dangerous. And in this world, there seems no way to save them both. Something extraordinary is starting. *PRE-ORDER HARUKI MURAKAMI’S NEW NOVEL, THE CITY AND ITS UNCERTAIN WALLS, NOW* '1Q84 has a range and sophistication that surpasses anything else in his oeuvre.' Independent on Sunday ‘Murakami's magnum opus’ Japan Times ‘Vibrating with wit, intellect and ambition’ The Times",,GoodBooks + Google Books enrichment,"Title: 1Q84 Author: Haruki Murakami, Jay Rubin, Philip Gabriel Subjects: Description: The year is 1Q84. This is the real world, there is no doubt about that. But in this world, there are two moons in the sky. In this world, the fates of two people, Tengo and Aomame, are closely intertwined. They are each, in their own way, doing something very dangerous. And in this world, there seems no way to save them both. Something extraordinary is starting. *PRE-ORDER HARUKI MURAKAMI’S NEW NOVEL, THE CITY AND ITS UNCERTAIN WALLS, NOW* '1Q84 has a range and sophistication that surpasses anything else in his oeuvre.' Independent on Sunday ‘Murakami's magnum opus’ Japan Times ‘Vibrating with wit, intellect and ambition’ The Times Published: 2009.0"
/works/OL14903351W,1st Report [Session 1993-94],Rand McNally,1983.0,eng,,https://covers.openlibrary.org/b/id/11962006-M.jpg,"research, science, technology, public policy, science and state, technology and state, politics, economics, economic policy, politics and government, european economic community","research, science, technology, public policy, science and state, technology and state, politics, economics, economic policy, politics and government, european economic community",Open Library subject: science,"Title: 1st Report [Session 1993-94] Author: Rand McNally Subjects: research, science, technology, public policy, science and state, technology and state, politics, economics, economic policy, politics and government, european economic community Description: research, science, technology, public policy, science and state, technology and state, politics, economics, economic policy, politics and government, european economic community Published: 1983.0"
13137,"1st to Die (Women's Murder Club, #1)",James Patterson,2001.0,en-US,4.05,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Four women--a police detective, an assistant D.A., a reporter, and a medical examiner who call themselves the Women's Murder Club--develop lifelong bonds as they pursue a killer whose twisted imagination has stunned an entire city.",,GoodBooks + Google Books enrichment,"Title: 1st to Die (Women's Murder Club, #1) Author: James Patterson Subjects: Description: Four women--a police detective, an assistant D.A., a reporter, and a medical examiner who call themselves the Women's Murder Club--develop lifelong bonds as they pursue a killer whose twisted imagination has stunned an entire city. Published: 2001.0"
/works/OL17365W,2001,Arthur C. Clarke,1968.0,eng,,https://covers.openlibrary.org/b/id/11344400-M.jpg,"human-computer interaction, computers, fiction, science fiction, twenty-first century, space vehicles, long now manual for civilization, english science fiction, fiction, science fiction, hard science fiction, saturn, jupiter, space travel, alien artifacts, human origins, high interest-low vocabulary books, readers, fiction, science fiction, general, english literature","human-computer interaction, computers, fiction, science fiction, twenty-first century, space vehicles, long now manual for civilization, english science fiction, fiction, science fiction, hard science fiction, saturn, jupiter, space travel, alien artifacts, human origins, high interest-low vocabulary books, readers, fiction, science fiction, general, english literature",Open Library subject: science_fiction,"Title: 2001 Author: Arthur C. Clarke Subjects: human-computer interaction, computers, fiction, science fiction, twenty-first century, space vehicles, long now manual for civilization, english science fiction, fiction, science fiction, hard science fiction, saturn, jupiter, space travel, alien artifacts, human origins, high interest-low vocabulary books, readers, fiction, science fiction, general, english literature Description: human-computer interaction, computers, fiction, science fiction, twenty-first century, space vehicles, long now manual for civilization, english science fiction, fiction, science fiction, hard science fiction, saturn, jupiter, space travel, alien artifacts, human origins, high interest-low vocabulary books, readers, fiction, science fiction, general, english literature Published: 1968.0"
